villeLabel;population;latitude;longitude
Pignan;8221;43.584166666;3.761944444
Éguilles;8220;43.568611111;5.354166666
Puget-sur-Argens;8195;43.455833333;6.684166666
Bormes-les-Mimosas;8173;43.151666666;6.343055555
Thuir;8173;42.631944444;2.756388888
Sérignan;8123;43.28;3.2775
La Colle-sur-Loup;8084;43.686388888;7.103888888
Pégomas;8045;43.596666666;6.933333333
Rochefort-du-Gard;7921;43.974444444;4.690277777
Le Soler;7846;42.681944444;2.793333333
Pézenas;7788;43.459444444;3.422777777
Bellegarde;7740;43.753611111;4.514444444
Baillargues;7735;43.661111111;4.012777777
Cavalaire-sur-Mer;7678;43.171111111;6.529166666
Corte;7654;42.305555555;9.150555555
Biguglia;7654;42.618333333;9.436111111
Céret;7648;42.488055555;2.751388888
Marseillan;7643;43.356388888;3.527777777
Bompas;7619;42.731111111;2.933333333
Les Arcs;7580;43.463333333;6.478888888
Sausset-les-Pins;7563;43.332222222;5.113888888
Contes;7544;43.811944444;7.313888888
Toulouges;7334;42.670555555;2.831944444
Lodève;7289;43.731666666;3.319444444
Roquefort-les-Pins;7276;43.665555555;7.050833333
Canet-en-Roussillon-Saint-Nazaire;7219;42.7067;3.00778
Fabrègues;7197;43.550277777;3.776111111
La Gaude;7133;43.721944444;7.153055555
Saint-Christol-lez-Alès;7115;44.084444444;4.076944444
Manduel;7109;43.818333333;4.473333333
Balaruc-les-Bains;7073;43.440833333;3.677222222
Vendargues;7044;43.657777777;3.969444444
Eyguières;6887;43.695277777;5.031111111
Sénas;6838;43.744444444;5.078611111
Jacou;6823;43.660769444;3.910327777
Gémenos;6794;43.296111111;5.626944444
Carnoux-en-Provence;6747;43.256388888;5.564444444
Cassis;6720;43.215555555;5.537222222
Montauroux;6685;43.618333333;6.765277777
Cournonterral;6654;43.557758333;3.71895
Gignac;6650;43.651944444;3.551111111
Saint-Victoret;6648;43.420833333;5.233333333
Marsillargues;6587;43.664444444;4.176944444
La Penne-sur-Huveaune;6569;43.280555555;5.515833333
Gigean;6565;43.499722222;3.711111111
Canohès;6534;42.651944444;2.834444444
Castries;6523;43.678888888;3.981388888
Laudun-l'Ardoise;6511;44.105;4.6575
Saint-André-de-Sangonis;6344;43.649722222;3.503611111
La Bouilladisse;6341;43.395277777;5.595277777
Trans-en-Provence;6285;43.503333333;6.486111111
Poussan;6283;43.488611111;3.67
Le Lavandou;6216;43.137777777;6.367777777
Bouillargues;6192;43.800277777;4.426944444
Mallemort;6172;43.730833333;5.179444444
Prades;6124;42.617222222;2.421944444
Prades-le-Lez;6107;43.698888888;3.864722222
Calvisson;6105;43.785;4.192222222
Lucciana;6091;42.545833333;9.417222222
Pierrefeu-du-Var;6083;43.224444444;6.145277777
Saint-Mandrier-sur-Mer;6079;43.076111111;5.927777777
Le Barcarès;6049;42.788333333;3.035555555
Furiani;6032;42.656666666;9.433055555
Milhaud;5987;43.789722222;4.3075
Meyreuil;5935;43.486111111;5.495555555
Saint-Zacharie;5931;43.384166666;5.706666666
Solliès-Toucas;5912;43.205555555;6.025
Port-la-Nouvelle;5905;43.02;3.046111111
Fayence;5890;43.623333333;6.693888888
Vias;5882;43.312777777;3.418611111
Palavas-les-Flots;5881;43.529444444;3.930555555
Roquefort-la-Bédoule;5861;43.2475;5.590833333
Noves;5853;43.876944444;4.901388888
Simiane-Collongue;5849;43.431111111;5.4325
Le Puy-Sainte-Réparade;5830;43.663333333;5.437222222
Saint-Mitre-les-Remparts;5816;43.455;5.014166666
Clapiers;5811;43.6575;3.888333333
Saint-André-de-la-Roche;5782;43.74;7.287777777
Bédarieux;5778;43.615930555;3.158805555
Ensuès-la-Redonne;5768;43.355833333;5.204166666
Coursan;5751;43.2325;3.058888888
Aimargues;5749;43.684722222;4.208611111
Calvi;5746;42.567777777;8.756666666
Carry-le-Rouet;5708;43.331944444;5.151944444
Saleilles;5671;42.654166666;2.951666666
Cuges-les-Pins;5662;43.276388888;5.700555555
Saint-Cannat;5653;43.621388888;5.298055555
Vergèze;5621;43.743333333;4.22
Peypin;5613;43.385833333;5.578333333
La Cadière-d'Azur;5602;43.195833333;5.755555555
Saint-Georges-d'Orques;5600;43.610277777;3.780555555
Sigean;5583;43.028055555;2.977777777
Beauvoisin;5581;43.718333333;4.323611111
Bessan;5572;43.361388888;3.424166666
Ille-sur-Têt;5538;42.670555555;2.620555555
Roquemaure;5526;44.051666666;4.778333333
Ventabren;5484;43.538888888;5.293055555
Saint-Privat-des-Vieux;5482;44.144166666;4.129166666
Pourrières;5474;43.503888888;5.733888888
Sauvian;5459;43.291944444;3.260555555
La Roquette-sur-Siagne;5436;43.58;6.955555555
Rocbaron;5422;43.304166666;6.090833333
Trèbes;5416;43.209722222;2.441388888
Pollestres;5402;42.637777777;2.866944444
La Roque-d'Anthéron;5377;43.714722222;5.310833333
Servian;5337;43.427222222;3.299166666
Garéoult;5322;43.328333333;6.046111111
Le Boulou;5321;42.523888888;2.83
Le Castellet;5285;43.202777777;5.776666666
Grans;5274;43.608611111;5.063055555
Drap;5238;43.755;7.321388888
Peyrolles-en-Provence;5223;43.645555555;5.585
Rousset;5209;43.482222222;5.622222222
Le Rove;5194;43.369166666;5.250277777
Levens;5165;43.860833333;7.224444444
Tourves;5160;43.408055555;5.923888888
Cazouls-lès-Béziers;5146;43.392222222;3.101388888
Garons;5106;43.768333333;4.428333333
Gruissan;5096;43.106944444;3.088333333
Saint-Clément-de-Rivière;5058;43.683611111;3.846388888
Sommières;5040;43.784444444;4.09
Florensac;5022;43.382777777;3.465
Villefranche-sur-Mer;4989;43.704166666;7.311666666
Nans-les-Pins;4968;43.370555555;5.782222222
Saint-Mathieu-de-Tréviers;4896;43.769722222;3.868611111
La Grand-Combe;4891;44.211111111;4.029444444
Ceyreste;4813;43.213611111;5.629722222
Graveson;4791;43.851111111;4.773333333
Sainte-Marie-la-Mer;4784;42.727222222;3.016944444
Uchaud;4761;43.756944444;4.269444444
Tourrette-Levens;4760;43.786666666;7.275833333
Pignans;4730;43.300555555;6.226666666
Teyran;4685;43.684166666;3.928055555
Claira;4681;42.760277777;2.955555555
Maraussan;4671;43.366666666;3.157777777
Banyuls-sur-Mer;4671;42.482222222;3.1275
Saint-Hilaire-de-Brethmas;4616;44.080833333;4.125277777
Saint-Martin-de-Valgalgues;4603;44.163055555;4.082222222
Cabannes;4595;43.860555555;4.951111111
Le Cannet-des-Maures;4592;43.391666666;6.340833333
Rognes;4586;43.664444444;5.347222222
Leucate;4550;42.909444444;3.028888888
Grimaud;4527;43.273333333;6.521666666
Cap-d'Ail;4508;43.721111111;7.405555555
Puget-Ville;4488;43.289444444;6.136111111
Lunel-Viel;4488;43.677777777;4.091666666
Bages;4482;42.605833333;2.896944444
Villemoustaussou;4468;43.252222222;2.364722222
Montagnac;4436;43.480833333;3.483055555
Jouques;4404;43.636944444;5.636666666
Gréasque;4392;43.430555555;5.539166666
Rousson;4359;44.178611111;4.15
Eyragues;4355;43.841111111;4.841111111
Flayosc;4354;43.534166666;6.396944444
Caveirac;4351;43.825;4.262222222
Gonfaron;4342;43.320555555;6.289166666
Vinon-sur-Verdon;4333;43.724722222;5.811944444
Saint-Jeannet;4303;43.746388888;7.143333333
Millas;4294;42.691666666;2.695555555
Gattières;4287;43.759444444;7.175833333
Clarensac;4280;43.826944444;4.218055555
Rians;4272;43.606944444;5.757222222
Le Val;4270;43.439444444;6.073055555
Villeneuve-de-la-Raho;4270;42.636666666;2.917222222
Bastelicaccia;4251;41.923888888;8.823888888
Ghisonaccia;4248;42.016388888;9.405
Poulx;4237;43.910833333;4.423611111
Barbentane;4236;43.899444444;4.747777777
Mimet;4187;43.413611111;5.505555555
Redessan;4181;43.831944444;4.496944444
Valras-Plage;4167;43.246944444;3.290833333
Montarnaud;4164;43.648888888;3.698888888
Le Rouret;4157;43.674444444;7.005555555
Saint-Aunès;4136;43.64;3.965277777
Aramon;4127;43.891111111;4.680833333
Rognonas;4111;43.900833333;4.804722222
Villeneuve-lès-Béziers;4098;43.314722222;3.280277777
Caissargues;4097;43.795833333;4.378888888
Tourrettes-sur-Loup;4092;43.716111111;7.06
Cuxac-d'Aude;4061;43.245833333;2.999166666
Montferrier-sur-Lez;4054;43.668611111;3.857222222
Nissan-lez-Enserune;4049;43.288333333;3.128611111
Paulhan;4031;43.540833333;3.458888888
Générac;4025;43.728333333;4.348611111
Montady;4005;43.330555555;3.120833333
Le Revest-les-Eaux;4002;43.176388888;5.926388888
Ganges;3984;43.934166666;3.708333333
Port-Vendres;3969;42.518055555;3.105
Pézilla-la-Rivière;3942;42.695277777;2.770555555
Villeveyrac;3934;43.501111111;3.607222222
Saint-Cézaire-sur-Siagne;3924;43.648888888;6.792777777
La Destrousse;3913;43.376388888;5.606666666
Pujaut;3908;44.004722222;4.774722222
Fleury;3896;43.229444444;3.134444444
Carnoules;3852;43.301944444;6.188611111
Jonquières-Saint-Vincent;3851;43.828055555;4.563333333
Meyrargues;3830;43.635555555;5.528333333
Torreilles;3821;42.755;2.993888888
La Croix-Valmer;3804;43.207777777;6.568055555
Sospel;3803;43.876944444;7.448333333
Beaulieu-sur-Mer;3796;43.706944444;7.331388888
Salernes;3784;43.563333333;6.233888888
Salses-le-Château;3752;42.832777777;2.918888888
Saint-Hippolyte-du-Fort;3747;43.965833333;3.855833333
Propriano;3741;41.675;8.904166666
Prunelli-di-Fiumorbo;3737;42.010555555;9.324722222
Coudoux;3726;43.557777777;5.248333333
Châteauneuf-Grasse;3716;43.675;6.975
Le Vigan;3706;43.992222222;3.605555555
Saint-Vallier-de-Thiey;3667;43.698888888;6.847777777
Peynier;3650;43.446944444;5.641388888
Salindres;3648;44.171388888;4.157777777
Callian;3646;43.622222222;6.753055555
Flassans-sur-Issole;3621;43.368611111;6.221111111
Alénya;3619;42.639722222;2.981666666
Saint-Laurent-d'Aigouze;3613;43.634444444;4.195555555
Gallargues-le-Montueux;3592;43.721111111;4.172777777
Alata;3587;41.976944444;8.743055555
Saint-Tropez;3578;43.269722222;6.638611111
Canet;3570;43.601666666;3.490555555
Sartène;3570;41.620833333;8.973611111
Amélie-les-Bains-Palalda;3565;42.475277777;2.671944444
Plan-d'Orgon;3552;43.810833333;5.001388888
Cournonsec;3550;43.548611111;3.704722222
Espira-de-l'Agly;3532;42.776944444;2.835555555
Fontvieille;3521;43.726944444;4.708888888
Saint-Savournin;3501;43.406388888;5.5275
Colomars;3487;43.763611111;7.222222222
Magalas;3478;43.471111111;3.221944444
Boujan-sur-Libron;3452;43.3725;3.248888888
Sorède;3448;42.530555555;2.956666666
Saint-Julien-les-Rosiers;3436;44.173888888;4.109166666
Vic-la-Gardiole;3416;43.489722222;3.796666666
Mouriès;3414;43.689166666;4.871111111
Carcès;3405;43.476111111;6.182777777
Saint-André;3400;42.551111111;2.973333333
Bernis;3397;43.765555555;4.286111111
Saint-Andiol;3380;43.835555555;4.944722222
Saint-Brès;3378;43.6675;4.029166666
Penta-di-Casinca;3376;42.4675;9.459722222
Saint-Martin-du-Var;3375;43.822222222;7.192222222
Quissac;3373;43.909444444;4.0
Saint-Ambroix;3361;44.260555555;4.198055555
Grosseto-Prugna;3349;41.871388888;8.963611111
Afa;3336;41.983888888;8.795555555
Aigues-Vives;3331;43.739444444;4.180555555
Baho;3327;42.700277777;2.8225
Lespignan;3325;43.273611111;3.171666666
Anduze;3324;44.053475;3.986572222
Capestang;3318;43.328888888;3.044444444
Lavérune;3312;43.585555555;3.805555555
Mireval;3302;43.507777777;3.800833333
Villelongue-de-la-Salanque;3301;42.727777777;2.984444444
Saint-Just;3282;43.657222222;4.113888888
Sarrola-Carcopino;3278;42.0275;8.842777777
