itemLabel;population;latitude;longitude
Q27565344;34923;7.068061;100.47897
Kalasin;34437;16.433333333;103.5
Q15310499;34322;14.721176;100.804723
Uttaradit;33930;17.625555555;100.094166666
Chumpon;33516;10.493888888;99.18
Q13025380;33407;8.53912;99.970176944
Mukdahan;33102;16.543055555;104.722777777
Q28779394;33084;6.5341;101.311
Ang Sila;33053;13.33638889;100.92777778
Q13025285;32726;17.4286;102.8159
Q13025353;31597;16.5431;102.1104
Mae Sot;31530;16.710091;98.570709
Q28790101;31350;14.0709;100.8686
Q13025373;31288;13.995;100.6687
Q15999229;30983;12.720865;101.066894
Q13025367;30750;13.8444;100.4829
Q13025255;30541;;
Q24573306;30508;16.8146;100.3051
Q15199303;30500;8.1669;99.6745
Krabi;30499;8.059166666;98.918888888
Q26206687;30496;16.402;102.7881
Q13025280;30382;13.642053;100.603901
Q13025271;30318;13.681065;100.308555
Q26206743;30176;14.823611111;100.656694444
Chonburi;29961;13.361111111;100.985
Q24573306;29825;16.8146;100.3051
Kamphaeng Phet;29178;16.481111111;99.522222222
Q15264893;28913;16.073;102.7362
Samut Songkhram;28493;13.409722222;100.001666666
Q15212080;28437;12.965785059;99.892405368
Q28790103;28349;13.9576;100.4902
Q13025393;28154;15.2008;104.8612
Q13025413;28144;;
Q13025375;28016;13.599;100.6199
Q15999229;27668;12.720865;101.066894
Q13025403;27354;17.45138889;102.765
Buriram;27150;14.994166666;103.102222222
Q13025331;26804;14.919172216;102.109452625
Betong;26640;5.77305556;101.0725
Q90280475;26584;14.0384;99.546
Nakhon Phanom;26437;17.406944444;104.780833333
Samphanthawong;26359;13.731388888;100.514166666
Suphanburi;26164;14.4675;100.116944444
Q13025291;26111;14.9707;102.1471
Q15629541;26078;7.9112;98.3475
Chalong;26041;7.8396;98.3452
Amnat Charoen;25858;15.875837496;104.622300914
Piang Luang;25725;19.6493;98.6352
Kanchanaburi;25651;14.019444444;99.531111111
Q15980694;24625;13.996827;100.589071
Q7678201;24563;15.2667;100.35
Q15216159;24344;13.5961;100.2818
Q15217707;24237;13.7482;100.3139
Lopburi;24166;14.8;100.626944444
Q15217704;23982;;
Chanthaburi;23835;12.608611111;102.103888888
Q13025222;23630;13.5812;100.7957
Satun;23612;6.614722222;100.068055555
Q15629559;23612;7.8396;98.3452
Q13025372;23518;6.948;100.4794
Q13025387;23418;12.6636;100.9036
Si Racha;23400;13.17444444;100.93055556
Q97856650;23316;13.8882;100.462
Phetchaburi;23235;13.111944444;99.945833333
Q28773249;23144;9.9532;98.6344
Q13025410;23140;18.903194444;99.004111111
Q96058981;23010;13.8442;100.4612
Q13025390;22995;15.6565;101.1072
Pathum Thani;22948;14.051111;100.482778
Q108319117;22903;16.0327;98.6672
Loei;22339;17.485312579;101.730704969
Phichit;22299;16.443055555;100.346666666
Q91937776;22278;13.3418;100.9438
Q93633070;22265;13.6372;100.2967
Q15264898;22178;16.415194444;102.900305555
Phetchabun;22121;16.416944444;101.153333333
Q104772254;22110;7.0452;100.3927
Q15216155;21904;13.6519;100.2572
Q111042613;21901;13.6087;100.6518
Q93633070;21896;13.6372;100.2967
Q15980693;21883;13.958;100.6012
Nongboualamphou;21528;17.204166666;102.444444444
Nang Rong;21493;14.636331;102.774646
Q110821530;21421;13.5687;100.5627
Q13025388;21301;13.5004;102.1806
Q15629584;21191;7.9978;98.3508
Sadao;21086;6.63861;100.424
Q28737771;21067;14.262807;100.693078
Q13025352;20713;15.037156536;103.063344489
Q15273763;20699;20.4266;99.8841
Q11990772;20609;17.304294;102.196399
Nan;20595;18.7893;100.7766
Q13025378;20425;8.353763503;100.202340302
Yasothon;20414;15.797156762;104.143051944
Q15629547;20363;7.8981;98.3047
Q45733759;20335;13.416234;101.06737
Q28779424;20211;13.8437;99.8681
Q15980693;19975;13.958;100.6012
Q6900620;19939;9.1059;99.2326
Q4831587;19854;14.364091111;100.588716944
Q15154234;19801;8.7997;99.3635
Q23571166;19536;14.610229;101.07541
Q11980393;19392;14.6536;104.6278
Q13025368;19346;13.314026111;101.111383055
Q42156602;19305;8.763;99.064611111
Q42156602;19210;8.763;99.064611111
Q13025220;18961;12.8339;99.9346
Q4189383;18943;6.25917;102.053
Q15980715;18797;12.7778;101.6483
Choeng Thale;18611;7.9852;98.3025
Q6900669;18564;18.7433;98.964
Q13025303;18536;14.992191111;103.07827
Q15244228;18518;14.964723968;102.090964869
Q13025359;18320;17.8494;102.5858
Q19858114;18302;16.4523;102.7225
Q15244255;18255;14.962902176;102.031367635
Q13025400;18209;14.87642703;101.720224785
Q45733759;18110;13.416234;101.06737
Q27943195;17983;8.177559;98.964843
Sa Kaeo;17864;13.820555555;102.058888888
San Kamphaeng;17857;18.75;99.1167
Singburi;17843;14.891111111;100.403055555
Prachinburi;17768;14.056667;101.373889
Q15980715;17764;12.7778;101.6483
Q13025281;17747;14.9197;102.0179
Q13025385;17611;13.72698;100.21526
Q28790359;17603;15.928;99.48
Rawaï;17586;7.7707;98.3185
Q15978653;17579;8.660259049;99.376755527
Tak;17565;16.871111111;99.125
Q19858114;17564;16.4523;102.7225
Phayao;17467;19.165228698;99.903604272
Q15978653;17373;8.660259049;99.376755527
Ban Pong;17298;13.8174;99.883
Q19838152;17257;7.141212544;100.290546778
Q1013447;17148;17.309917566;99.826279087
Q806041;17116;12.62866358;101.439944852
Q15629557;16988;7.7707;98.3185
Q28731267;16851;12.393888888;99.915888888
Q15271457;16830;18.7694;98.9499
Q27943194;16800;6.9581;100.3207
Q27943195;16673;8.177559;98.964843
Phrae;16668;18.143611111;100.141666666
Q13025195;16527;15.0311;102.1381
Q15222417;16470;15.205351;101.135643
Q27943194;16344;6.9581;100.3207
Aranyaprathet;16211;13.69277778;102.50166667
Nakhon Nayok;16195;14.203056;101.215
Q28574210;16130;13.698314;99.906846
Ranong;16125;9.961944444;98.638888888
Q13224249;16090;19.732222222;99.140277777
Q13025369;15913;17.704;103.2623
Q15310482;15881;13.9297;100.7375
Q13025272;15691;17.415498;99.815179
Q2624333;15680;6.66644444;100.32361111
Q15217897;15632;14.3605;99.8852
Sukhothaï Thani;15618;17.014166666;99.821944444
Q47016496;15524;16.1253;101.8967
Q56509067;15496;16.5518;101.9076
Q56509067;15470;16.5518;101.9076
Q94320684;15465;14.068139;101.812473
Q47016496;15463;16.1253;101.8967
Q15738321;15436;9.125;99.283611111
Uthai Thani;15434;15.38;100.025
Q13025313;15416;13.24033147;99.825379001
Q13025263;15360;17.610031859;99.223391286
Q15980698;15329;16.2108;100.4188
Q13025187;15220;8.041667545;99.650090635
Q20203631;15188;12.6582;101.5922
Q13025355;15175;18.7591;99.0784
Q94320684;15123;14.068139;101.812473
Q15629589;15060;8.0121;98.3988
Q20203631;15006;12.6582;101.5922
Q13025262;14815;;
Q21116551;14777;14.7926;100.6701
Q21116551;14591;14.7926;100.6701
Q16363550;14577;14.886373055;100.323471111
Q37854216;14536;16.411894;102.040159
Q37854216;14529;16.411894;102.040159
Q15980656;14522;6.7012;101.6181
Q15244558;14488;15.213057685;102.554748965
Q21509765;14385;18.5481;99.0355
Q13025407;14272;14.731698552;102.027683008
Q15310409;14264;14.90598;105.07836
Q13025374;14218;;
Q62090650;14215;19.077791;99.927022
Q13025363;14168;15.585842;102.433692
Q15980656;14137;6.7012;101.6181
Q22682168;14089;12.7592;100.9043
Q16363550;14018;14.886373055;100.323471111
Q99167978;13987;13.9841;100.5512
Q16363550;13937;14.886373055;100.323471111
Q15980698;13868;16.2108;100.4188
Q13025240;13786;13.8273;100.3859
Q28779269;13785;12.637602;102.088447
Q15982805;13773;9.9923;98.6507
Q13025208;13768;8.077197462;99.65784549
Q101229157;13597;19.4294;98.9789
Q22682168;13539;12.7592;100.9043
Q15244236;13515;14.91156479;101.978860814
Q108764552;13507;16.1675;104.6408
Q62090650;13502;19.077791;99.927022
Q13025287;13499;13.385000566;101.219608393
Q15272853;13450;19.161209;99.994579
Q21150906;13350;14.3258;99.8623
Q13025242;13301;18.4901;98.6747
Ang Thong;13277;14.5926;100.4574
Q13025406;13188;19.14416667;98.99833333
Q19838141;13158;18.3323;99.5384
Q21150906;13157;14.3258;99.8623
Q15310375;13082;13.597555555;100.584777777
Q15244502;13037;14.932356523;101.515910211
Mai Khao;13005;8.1812;98.2992
Q91936094;12975;13.409505;101.001209
Q15199316;12968;8.171655361;99.659408061
Q45215019;12959;17.2791;102.8022
Q15217918;12926;14.23055556;100.03888889
Q15980663;12902;7.789154889;99.632876504
Q15980663;12902;7.789444444;99.634722222
Q15738328;12885;9.030953;99.372306
Q13025286;12866;14.335230173;100.872656249
Q91936094;12815;13.409505;101.001209
Q45215019;12760;17.2791;102.8022
Q15225134;12752;14.5864;100.9967
Q6735086;12746;15.138874356;102.26917705
Q101652280;12741;10.5278;98.9027
Q28721669;12710;14.6666;100.4702
Q26268069;12709;19.196134;99.837829
Q15244449;12639;14.534;101.3791
Lamphun;12595;18.580277777;99.007222222
