item,itemLabel,latitude,longitude,date
http://www.wikidata.org/entity/Q242644,bataille de Caporetto,46.214444444,13.6425,1917-10-24T00:00:00Z
http://www.wikidata.org/entity/Q440402,bataille de Radom,51.162222,21.236944,1939-09-08T00:00:00Z
http://www.wikidata.org/entity/Q444201,bataille d'Autun,46.951666666,4.299444444,
http://www.wikidata.org/entity/Q426099,siège d'Anvers,51.22,4.41,1914-09-28T00:00:00Z
http://www.wikidata.org/entity/Q426227,bataille de Passchendaele,50.900277777,3.021111111,1917-07-31T00:00:00Z
http://www.wikidata.org/entity/Q179288,bataille de Kosovo Polje,42.63,21.12,
http://www.wikidata.org/entity/Q179455,bataille de l'Hellespont,40.2,26.4,
http://www.wikidata.org/entity/Q392538,bataille de Sagrajas,38.923056,-6.901389,
http://www.wikidata.org/entity/Q393299,bataille de la crête de Vimy,50.379444444,2.773888888,1917-04-09T00:00:00Z
http://www.wikidata.org/entity/Q130861,bataille de Koursk,51.7,36.1,1943-07-05T00:00:00Z
http://www.wikidata.org/entity/Q234188,bataille de Sekigahara,35.3705,136.4616,
http://www.wikidata.org/entity/Q235344,siège de Fort Alamo,29.425555555,-98.486111111,1836-02-23T00:00:00Z
http://www.wikidata.org/entity/Q128996,bataille d'Akroinon,38.75,30.533333,
http://www.wikidata.org/entity/Q129117,bataille de Kitcheners' Wood,50.89,2.922,1915-04-22T00:00:00Z
http://www.wikidata.org/entity/Q130847,bataille de Verdun,49.208055555,5.421944444,1916-02-21T00:00:00Z
http://www.wikidata.org/entity/Q252698,bataille de Rakvere,59.35,26.35,
http://www.wikidata.org/entity/Q254599,bataille de Shanghai,31.2323,121.469,1937-08-13T00:00:00Z
http://www.wikidata.org/entity/Q254797,première bataille du Bourget,48.9353,2.42556,1870-09-27T00:00:00Z
http://www.wikidata.org/entity/Q258069,bataille de Segesvár,46.236277777,24.846,
http://www.wikidata.org/entity/Q335871,bataille de Bathys Ryax,39.836666666,36.701111111,
http://www.wikidata.org/entity/Q337960,bataille de Ratisbonne,49.016666666,12.1,
http://www.wikidata.org/entity/Q335330,bataille de Philippes,41.01305556,24.28638889,-0041-10-01T00:00:00Z
http://www.wikidata.org/entity/Q326115,siège de Gérone,41.983333333,2.816666666,1808-07-24T00:00:00Z
http://www.wikidata.org/entity/Q325985,siège de Saint-Jean-d'Acre,32.93333333,35.08333333,1291-04-11T00:00:00Z
http://www.wikidata.org/entity/Q326417,bataille de Marston Moor,53.962222222,-1.254166666,
http://www.wikidata.org/entity/Q450318,bataille des Cardinaux,47.516666666,-3.0,
http://www.wikidata.org/entity/Q451853,bataille de la Birse,47.542,7.618,
http://www.wikidata.org/entity/Q451404,bataille de Saint-Jacques sur la Sihl,47.37361111,8.53083333,
http://www.wikidata.org/entity/Q456993,siège de Jérusalem,31.7833,35.2167,1099-06-13T00:00:00Z
http://www.wikidata.org/entity/Q451711,bataille de Carnifex Ferry,38.208888888,-80.938611111,
http://www.wikidata.org/entity/Q332543,bataille des Pyramides,30.08333333,31.2,
http://www.wikidata.org/entity/Q331565,bataille de Breisach,48.032468,7.577431,1638-08-18T00:00:00Z
http://www.wikidata.org/entity/Q331565,bataille de Breisach,48.03278,7.58028,1638-08-18T00:00:00Z
http://www.wikidata.org/entity/Q331740,raid sur la Medway,51.4039,0.531944,1667-06-09T00:00:00Z
http://www.wikidata.org/entity/Q331518,bataille de Rheinfelden,47.55,7.8,1638-02-28T00:00:00Z
http://www.wikidata.org/entity/Q331725,bataille de Domstadtl,49.7383333,17.4433333,
http://www.wikidata.org/entity/Q127299,bataille de Kolin,50.028888888,15.121944444,
http://www.wikidata.org/entity/Q116222,bataille de Ferozeshah,30.8833,74.7833,1845-12-21T00:00:00Z
http://www.wikidata.org/entity/Q118951,bataille de la Meloria,43.31718611,9.97558611,
http://www.wikidata.org/entity/Q131969,bataille des Thermopyles,38.795833333,22.536944444,
http://www.wikidata.org/entity/Q131386,siège d'Alésia,47.53722222,4.50027778,-0051-07-01T00:00:00Z
http://www.wikidata.org/entity/Q188495,bataille d'Azincourt,50.463333333,2.141388888,
http://www.wikidata.org/entity/Q184320,bataille de la Moskova,55.516666666,35.816666666,
http://www.wikidata.org/entity/Q188123,bataille de Champigny,48.8172,2.51556,
http://www.wikidata.org/entity/Q186107,bataille de Stockach,47.75555556,7.57722222,
http://www.wikidata.org/entity/Q87779,bataille de Teutobourg,52.4075,8.125833333,
http://www.wikidata.org/entity/Q83224,bataille d'Hastings,50.911944444,0.4875,
http://www.wikidata.org/entity/Q149560,bataille de Stallupönen,54.630555555,22.573333333,
http://www.wikidata.org/entity/Q140439,bataille de Markuszów,51.375277777,22.256944444,
http://www.wikidata.org/entity/Q145588,bataille de Gumbinnen,54.6,22.2,
http://www.wikidata.org/entity/Q140443,bataille de Zelva,53.15,24.817,1792-07-04T00:00:00Z
http://www.wikidata.org/entity/Q324344,bataille de Roliça,39.3136,-9.18361,
http://www.wikidata.org/entity/Q323735,bataille de Warksow,54.3051,13.2273,
http://www.wikidata.org/entity/Q325486,bataille de Blue Licks,38.428407833,-83.994647222,
http://www.wikidata.org/entity/Q323372,bataille de Beaugency,47.7792,1.6325,1870-12-08T00:00:00Z
http://www.wikidata.org/entity/Q324977,Groupe fortifié Driant,49.07305556,6.05527778,
http://www.wikidata.org/entity/Q324916,bataille de Solférino,45.367222222,10.566388888,
http://www.wikidata.org/entity/Q180659,bataille de Wilson's Creek,37.1,-93.4075,
http://www.wikidata.org/entity/Q181480,bataille de Vítkov Hill,50.0892,14.4247,1420-06-21T00:00:00Z
http://www.wikidata.org/entity/Q181293,bataille de Rozgony,48.744743,21.336136,
http://www.wikidata.org/entity/Q182240,siège de Varsovie,52.23,21.01083333,1939-09-08T00:00:00Z
http://www.wikidata.org/entity/Q182240,siège de Varsovie,52.216666666,21.033333333,1939-09-08T00:00:00Z
http://www.wikidata.org/entity/Q273011,bataille de Marengo,44.883333333,8.683333333,1800-06-14T00:00:00Z
http://www.wikidata.org/entity/Q273069,bataille du Lechfeld,48.366666666,10.9,
http://www.wikidata.org/entity/Q134114,bataille d'Austerlitz,49.128055555,16.7625,
http://www.wikidata.org/entity/Q251184,bataille de Signal Hill,47.56972222,-52.68194444,
http://www.wikidata.org/entity/Q243640,seconde bataille de Sabine Pass,29.720513888,-93.870747222,
